0, 37 
1, 223 
2, 1 
3, 1 
4, 294 
5, 149 
6, 34 
7, 206 
8, 223 
9, 286 
10, 286 
11, 255 
12, 188 
13, 223 
14, 223 
15, 264 
16, 23 
17, 80 
18, 116 
19, 214 
20, 199 
21, 116 
22, 220 
23, 143 
24, 298 
25, 111 
26, 19 
27, 32 
28, 24 
29, 298 
30, 298 
31, 298 
32, 80 
33, 219 
34, 148 
35, 90 
36, 286 
37, 131 
38, 255 
39, 131 
40, 258 
41, 286 
42, 0 
43, 224 
44, 210 
45, 241 
47, 162 
48, 101 
49, 286 
50, 188 
51, 205 
52, 252 
53, 186 
54, 255 
55, 142 
56, 262 
57, 188 
58, 252 
59, 90 
60, 188 
61, 148 
62, 129 
63, 162 
64, 68 
66, 188 
67, 212 
68, 53 
69, 26 
70, 16 
71, 221 
72, 26 
73, 180 
74, 29 
75, 271 
76, 181 
77, 154 
78, 27 
79, 23 
80, 267 
81, 29 
82, 234 
83, 106 
84, 159 
85, 250 
86, 294 
87, 158 
88, 106 
89, 148 
90, 67 
91, 210 
92, 101 
93, 142 
94, 291 
95, 252 
96, 91 
97, 171 
98, 207 
99, 210 
100, 117 
101, 224 
103, 189 
104, 236 
105, 116 
106, 81 
107, 197 
108, 105 
109, 82 
110, 195 
111, 26 
112, 196 
113, 234 
114, 241 
115, 191 
116, 215 
117, 184 
118, 26 
119, 106 
120, 233 
121, 70 
122, 210 
123, 210 
124, 168 
125, 162 
126, 266 
127, 267 
129, 36 
130, 148 
131, 188 
132, 148 
133, 291 
134, 102 
135, 210 
136, 210 
137, 210 
138, 210 
140, 148 
141, 188 
142, 97 
143, 267 
144, 267 
145, 23 
146, 267 
147, 224 
148, 224 
149, 188 
150, 53 
151, 224 
152, 185 
153, 291 
154, 160 
155, 247 
156, 85 
157, 116 
158, 212 
159, 234 
160, 106 
161, 148 
162, 51 
163, 210 
164, 223 
165, 223 
166, 241 
167, 210 
168, 51 
169, 0 
170, 188 
171, 90 
172, 188 
174, 234 
175, 176 
176, 187 
177, 251 
178, 104 
179, 199 
180, 156 
181, 106 
182, 180 
183, 30 
184, 267 
185, 286 
186, 291 
187, 286 
188, 210 
189, 131 
190, 291 
191, 286 
192, 210 
193, 286 
194, 158 
195, 110 
196, 267 
197, 199 
198, 212 
199, 265 
200, 68 
201, 262 
202, 239 
203, 90 
204, 268 
205, 223 
206, 98 
207, 279 
208, 225 
209, 210 
210, 239 
211, 148 
212, 23 
213, 113 
214, 266 
215, 199 
216, 199 
217, 100 
218, 88 
219, 199 
220, 267 
221, 271 
222, 223 
224, 148 
225, 223 
226, 167 
227, 173 
228, 195 
229, 286 
230, 51 
231, 216 
232, 80 
233, 267 
234, 80 
235, 23 
236, 216 
237, 8 
238, 207 
239, 9 
240, 223 
241, 224 
242, 43 
243, 128 
244, 25 
245, 277 
246, 85 
247, 127 
248, 297 
249, 212 
250, 173 
251, 286 
252, 8 
253, 286 
254, 177 
255, 96 
256, 37 
257, 223 
258, 102 
259, 279 
260, 148 
261, 170 
262, 49 
263, 267 
264, 220 
265, 266 
268, 267 
269, 267 
270, 23 
271, 146 
272, 267 
273, 223 
274, 171 
275, 224 
276, 223 
277, 224 
278, 239 
279, 224 
280, 251 
281, 46 
282, 188 
283, 223 
284, 224 
285, 286 
286, 223 
287, 131 
288, 177 
289, 139 
290, 255 
292, 255 
293, 220 
294, 23 
295, 269 
296, 216 
297, 267 
298, 220 
299, 212 
